name,ring,quadrant,isNew,description
.NET Standard,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/dotnet/standard/net-standard"">.NET Standard</a></strong> is a formal specification of the APIs that are common across .NET implementations. This allows the same code and libraries to run on different implementations.</br></br><strong>Used by:</strong> LMKT</br><strong>Alternatives:</strong>.NET 8</p>"
.NET Core,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/dotnet/fundamentals/"">.NET Core</a></strong> is a cross-platform implementation for running websites, services, and console apps on Windows, Linux, and macOS.</br></br><strong>Used by:</strong> SAPO, LM, TORO, LMKT</br><strong>Alternatives:</strong>.NET 8</p>"
Akka.NET,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://getakka.net/"">Akka.NET</a></strong> is a professional-grade port of the popular Java/Scala framework Akka distributed actor framework to .NET.</br></br><strong>Used by:</strong> GATO, CUY</br><strong>Alternatives:</strong>None</p>"
MediatR,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/jbogard/MediatR"">MediatR</a></strong> is a simple mediator implementation in .NET. In-process messaging with no dependencies. Supports request/response, commands, queries, notifications and events, synchronous and async with intelligent dispatching via C# generic variance.</br></br><strong>Used by:</strong> TORO, LMKT, LM, SAPO</p>"
Polly,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/App-vNext/Polly"">Polly</a></strong> is a .NET resilience and transient-fault-handling library that allows developers to express policies such as Retry, Circuit Breaker, Timeout, Bulkhead Isolation, and Fallback in a fluent and thread-safe manner.</br></br><strong>Used by:</strong> TORO, LMKT, CUY, SAPO, GATO, TZTLeads</p>"
FluentValidation,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://fluentvalidation.net/"">FluentValidation</a></strong> is a small validation library for .NET that uses a fluent interface and lambda expressions for building validation rules.</br></br><strong>Used by:</strong> TZT Leads, SAPO, CUY, LMKT, GATO, TORO</p>"
AutoMapper,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://automapper.org/"">AutoMapper</a></strong> is a simple little library built to solve a deceptively complex problem - getting rid of code that mapped one object to another. This type of code is rather dreary and boring to write, so why not invent a tool to do it for us?.</br></br><strong>Used by:</strong> TZT Leads, CUY, GATO</p>"
Newtonsoft Json.NET,hold,Languages and Frameworks,FALSE,"<p><strong><a href=""https://www.newtonsoft.com/json"">Json.NET</a></strong> is a popular high-performance JSON framework for .NET.</br></br><strong>Used by:</strong> All</br><strong>Alternatives:</strong>System.Text.Json</p>"
Rebus,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/rebus-org/Rebus"">Rebus</a></strong> is a lean service bus implementation for .NET.</br></br><strong>Used by:</strong> TORO, SAPO</p>"
SQL Kata,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://sqlkata.com/"">SqlKata</a></strong> Query Builder is a powerful Sql Query Builder written in C#.</br></br><strong>Used by:</strong> SAPO, LM, LMKT</p>"
Dapper,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/DapperLib/Dapper"">Dapper</a></strong> is a simple object mapper for .Net</br></br><strong>Used by:</strong> All</p>"
Serilog,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://serilog.net/"">Serilog</a></strong> like many other libraries for .NET, provides diagnostic logging to files, the console, and elsewhere. It is easy to set up, has a clean API, and is portable between recent .NET platforms.Unlike other logging libraries, Serilog is built with powerful structured event data in mind.</br></br><strong>Used by:</strong> All</p>"
MS Test,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/dotnet/core/testing/unit-testing-with-mstest"">MS Test</a></strong> is the Microsoft test framework for all .NET languages. It's extensible and works with both .NET CLI and Visual Studio</br></br><strong>Used by:</strong> TZT Leads, LMKT</p>"
XUnit,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://xunit.net/"">xUnit.net</a></strong> is a free, open source, community-focused unit testing tool for the .NET Framework. </br></br><strong>Used by:</strong> CUY, LM, SAPO, GATO, TORO</p>"
NUnit,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://nunit.org/"">NUnit</a></strong> is a unit-testing framework for all .Net languages. Initially ported from JUnit, the current production release, version 3, has been completely rewritten with many new features and support for a wide range of .NET platforms.</br></br><strong>Used by:</strong> TZT Leads</p>"
Moq,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/Moq/moq4/wiki/Quickstart"">Moq</a></strong> is intended to be simple to use, strongly typed and minimalistic</br></br><strong>Used by:</strong> TZT Leads, TORO, LMKT, LM, GATO, SAPO, CUY</p>"
Shoudly,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://github.com/shouldly/shouldly"">Shouldly</a></strong> is an assertion framework which focuses on giving great error messages when the assertion fails while being simple and terse.</br></br><strong>Used by:</strong> TZT Leads, LMKT</p>"
Entity Framework Core,adopt,Languages and Frameworks,FALSE,"<p><strong><a href=""https://docs.microsoft.com/en-us/ef/core/"">Entity Framework (EF) Core</a></strong> is a lightweight, extensible, open source and cross-platform version of the popular Entity Framework data access technology.</br></br><strong>Used by:</strong> TORO, LMKT, SAPO</p>"
